datetime,open,high,low,close
2023-06-15,25121.67383,25735.30859,24797.16797,25576.39453
2023-06-16,25575.2832,26463.17383,25245.35742,26327.46289
2023-06-17,26328.67969,26769.39453,26174.49219,26510.67578
2023-06-18,26510.45703,26675.92578,26325.89062,26336.21289
2023-06-19,26335.44141,26984.61133,26312.83203,26851.0293
2023-06-20,26841.66406,28388.96875,26668.79102,28327.48828
2023-06-21,28311.31055,30737.33008,28283.41016,30027.29688
2023-06-22,29995.93555,30495.99805,29679.1582,29912.28125
2023-06-23,29896.38281,31389.53906,29845.21484,30695.46875
2023-06-24,30708.73828,30804.14844,30290.14648,30548.69531
2023-06-25,30545.15039,31041.27148,30327.94336,30480.26172
2023-06-26,30480.52344,30636.0293,29955.74414,30271.13086
2023-06-27,30274.32031,31006.78711,30236.65039,30688.16406
2023-06-28,30696.56055,30703.2793,29921.82227,30086.24609
2023-06-29,30086.1875,30796.25,30057.20312,30445.35156
2023-06-30,30441.35352,31256.86328,29600.27539,30477.25195
2023-07-01,30471.84766,30641.28906,30328.86523,30590.07812
2023-07-02,30587.26953,30766.14062,30264.01953,30620.76953
2023-07-03,30624.51562,31375.61328,30586.51367,31156.43945
2023-07-04,31156.86523,31325.19727,30659.35547,30777.58203
2023-07-05,30778.72461,30877.33008,30225.61328,30514.16602
2023-07-06,30507.15039,31460.05273,29892.22656,29909.33789
2023-07-07,29907.99805,30434.64453,29777.28516,30342.26562
2023-07-08,30346.92188,30374.4375,30080.16016,30292.54102
2023-07-09,30291.61133,30427.58984,30085.5918,30171.23438
2023-07-10,30172.42383,31026.08398,29985.39453,30414.4707
2023-07-11,30417.63281,30788.31445,30358.09766,30620.95117
2023-07-12,30622.24609,30959.96484,30228.83594,30391.64648
2023-07-13,30387.48828,31814.51562,30268.35156,31476.04883
2023-07-14,31474.7207,31582.25391,29966.38672,30334.06836
2023-07-15,30331.7832,30407.78125,30263.46289,30295.80664
2023-07-16,30297.47266,30437.56055,30089.66992,30249.13281
2023-07-17,30249.62695,30336.40039,29685.7832,30145.88867
2023-07-18,30147.07031,30233.65625,29556.42773,29856.5625
2023-07-19,29862.04688,30184.18164,29794.26953,29913.92383
2023-07-20,29915.25,30195.53125,29638.0957,29792.01562
2023-07-21,29805.11133,30045.99805,29733.85156,29908.74414
2023-07-22,29908.69727,29991.61523,29664.12109,29771.80273
2023-07-23,29790.11133,30330.64062,29741.52734,30084.53906
2023-07-24,30081.66211,30093.39453,28934.29492,29176.91602
2023-07-25,29178.9707,29353.16016,29062.43359,29227.39062
2023-07-26,29225.75977,29675.55273,29113.91211,29354.97266
2023-07-27,29353.79883,29560.9668,29099.35156,29210.68945
2023-07-28,29212.16406,29521.51367,29125.8457,29319.24609
2023-07-29,29319.44531,29396.84375,29264.16602,29356.91797
2023-07-30,29357.09375,29443.16992,29059.50195,29275.30859
2023-07-31,29278.31445,29489.87305,29131.57812,29230.11133
2023-08-01,29230.87305,29675.73242,28657.02344,29675.73242
2023-08-02,29704.14648,29987.99805,28946.50977,29151.95898
2023-08-03,29161.8125,29375.70703,28959.48828,29178.67969
2023-08-04,29174.38281,29302.07812,28885.33594,29074.0918
2023-08-05,29075.38867,29102.46484,28957.79688,29042.12695
2023-08-06,29043.70117,29160.82227,28963.83398,29041.85547
2023-08-07,29038.51367,29244.28125,28724.14062,29180.57812
2023-08-08,29180.01953,30176.79688,29113.81445,29765.49219
2023-08-09,29766.69531,30093.43555,29376.80078,29561.49414
2023-08-10,29563.97266,29688.56445,29354.44727,29429.5918
2023-08-11,29424.90234,29517.77344,29253.51758,29397.71484
2023-08-12,29399.78711,29465.11328,29357.58789,29415.96484
2023-08-13,29416.59375,29441.43359,29265.80664,29282.91406
2023-08-14,29283.26367,29660.25391,29124.10547,29408.44336
2023-08-15,29408.04883,29439.12109,29088.85352,29170.34766
2023-08-16,29169.07422,29221.97656,28701.7793,28701.7793
2023-08-17,28699.80273,28745.94727,25409.11133,26664.55078
2023-08-18,26636.07812,26808.19531,25668.92188,26049.55664
2023-08-19,26047.83203,26249.44922,25802.4082,26096.20508
2023-08-20,26096.86133,26260.68164,26004.31445,26189.58398
2023-08-21,26188.69141,26220.20117,25846.08789,26124.14062
2023-08-22,26130.74805,26135.50781,25520.72852,26031.65625
2023-08-23,26040.47461,26786.89844,25804.99805,26431.64062
2023-08-24,26431.51953,26554.91016,25914.92578,26162.37305
2023-08-25,26163.67969,26248.10352,25786.8125,26047.66797
2023-08-26,26047.23438,26107.38477,25983.87891,26008.46289
2023-08-27,26008.24219,26165.37305,25965.09766,26089.69336
2023-08-28,26089.61523,26198.57812,25880.59961,26106.15039
2023-08-29,26102.48633,28089.33789,25912.62891,27727.39258
2023-08-30,27726.08398,27760.16016,27069.20703,27297.26562
2023-08-31,27301.92969,27456.07812,25752.92969,25931.47266
2023-09-01,25934.02148,26125.86914,25362.60938,25800.72461
2023-09-02,25800.91016,25970.28516,25753.09375,25868.79883
2023-09-03,25869.47266,26087.14844,25817.03125,25969.56641
2023-09-04,25968.16992,26081.52539,25657.02539,25812.41602
2023-09-05,25814.95703,25858.375,25589.98828,25779.98242
2023-09-06,25783.93164,25953.01562,25404.35938,25753.23633
2023-09-07,25748.3125,26409.30273,25608.20117,26240.19531
2023-09-08,26245.20898,26414.00586,25677.48047,25905.6543
2023-09-09,25905.42578,25921.97656,25810.49414,25895.67773
2023-09-10,25895.21094,25978.13086,25640.26172,25832.22656
2023-09-11,25831.71484,25883.94727,24930.29688,25162.6543
2023-09-12,25160.6582,26451.93945,25133.07812,25833.34375
2023-09-13,25837.55469,26376.11328,25781.12305,26228.32422
2023-09-14,26228.27734,26774.62305,26171.45117,26539.67383
2023-09-15,26533.81836,26840.49805,26240.70117,26608.69336
2023-09-16,26606.19922,26754.76953,26473.89062,26568.28125
2023-09-17,26567.92773,26617.99805,26445.07422,26534.1875
2023-09-18,26532.99414,27414.73438,26415.51562,26754.28125
2023-09-19,26760.85156,27488.76367,26681.60547,27211.11719
2023-09-20,27210.22852,27379.50586,26864.08203,27132.00781
2023-09-21,27129.83984,27152.93945,26389.30078,26567.63281
2023-09-22,26564.05664,26726.07812,26495.5332,26579.56836
2023-09-23,26578.55664,26634.18555,26520.51953,26579.39062
2023-09-24,26579.37305,26716.05859,26221.05078,26256.82617
2023-09-25,26253.77539,26421.50781,26011.46875,26298.48047
2023-09-26,26294.75781,26389.88477,26090.71289,26217.25
2023-09-27,26209.49805,26817.8418,26111.46484,26352.7168
